	2bit	3bit	4bit
111111000000000000111100000000000000000000000000001111111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000000001111111101000000000000001111111111	1.3697693284703485	1.7402590209572224	2.0173714887703063
111111111111111000000000000000000000000000000000000000011111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111111111111111111100000000000000000000000000000000000000001	1.1167220906908362	1.2216342052635718	1.3285080048968272
100000000000000000011110000000000000000000000111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111100000000000000000000000000000111111111111000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111000000000000000000000000000000000001111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
101111000001111101111111110000000000000000000000000000000001	1.4636488292592815	1.8665488983087384	2.218168961229518
100011111111111111110000000000000000001100000000000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
111100000000000000000000000000000000000000001111111111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111000000000000000001100000000000000001111111111111100000001	1.3697693284703485	1.7658410736648797	2.150460260945552
100001111100000000000000000000000011111100000000000011111111	1.3697693284703485	1.76584107366488	2.1518563899626257
100000000000000000001111111111111000111110000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111000000000000000000000000000001111111100000000001101	1.3697693284703485	1.7478860049366842	2.069403106378089
111111111111110000000000000000111110000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111000000000111111100000000000000000000000000000001111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000011111111110000000000000000000000000111111110000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
101111111111111111110000000000000000000000000000000000000001	1.2570817983090952	1.4312607446401384	1.5395451196726189
100000000000000000000000000000001111111111000000011111111001	1.3697693284703485	1.7237313310647284	2.0606172069953756
100000000000000000000000000000011111111111110000000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000011111111111111111100000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000000000000001111111111111111111	1.1167220906908362	1.2216342052635718	1.3285080048968272
111111110000000000000000000000000000001111111100000000001111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000000000011111100000000001111111111110001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111001111000000000000000000000000000000011111100000001	1.3697693284703485	1.7658410736648797	2.1358890325296445
111111100000000000000000011111111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000001111111111111111011000000000001	1.3697693284703485	1.705776262336533	1.9983159391706515
111110000000000000000000000011111111110000000000000000011111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000011111111111111100000000000000000011100001	1.3697693284703485	1.7237313310647284	2.076584564428357
111110000000000000000000000000001111110000111111110000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
111111111111000000000000111111100000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000111110000000111111111111100000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000111111111111111111000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000001111110000000000000101111111111100000000000001	1.4636488292592815	1.9255586282484323	2.310605089996448
100000000000000000000000000000000000111111111100000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100100001111111111111111100000000000000000000000000000000001	1.3697693284703485	1.7013108133867747	2.020557226290945
100000011111111111111111100000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111000000000000000000000000000000000000000011111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100000000000000000000000000000000001111111111111000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000111111111111111111000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111100000000000000000000000000000000000111111111111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111100000000000000000001111110000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111000000001111110000000000000000000000000000000011	1.2570817983090952	1.5921142889080948	1.8680955122144713
111111111111110000000000000001111100000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111111000000010000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000111111111111111111000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111100000000000000000000000000000000000000001111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111111111110000000000011111111000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000111111111111000000001111110000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000001111111111111111110000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
110000000111100000000011111111111110000000000000000000000001	1.3697693284703485	1.7658410736648797	2.1153725416473064
111111100000011111111111100000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000111111111111111111000000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111000000000000000000000000000000000000000011111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100000000000000000000111111000000011111111111100000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111111111100000000000000000000000000000000000000011101	1.2570817983090952	1.4898235216379354	1.6886265687654884
100000010000000000001111000000000000000011000000111111111111	1.4636488292592815	1.9653182794238246	2.454291658574391
111111111111111100000000000000000000000000000000011100000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111100000000000011111100000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000011111111111110000000000000000000000000000000111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000011111111111111111100000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000001000000000000000000000001111111111111110000000111	1.3697693284703485	1.758214089685418	2.1467600030248484
100111111111111111000000000000000000000000000000000000001111	1.2570817983090952	1.5352110126094511	1.7691948926049519
111111111111000000000000000000111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000011000000000000111111111111000000000000000011111	1.3697693284703485	1.76584107366488	2.150460260945552
100000111111111111111100000000000000000000000110000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
111111111100000000001111000000000000000000111110000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
100000000000000000000111111111111110000000000000000000011111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000111111111111111111000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000111111111111111000000000000000000000001110001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000001100000000011111100000000000000011111111111	1.3697693284703485	1.76584107366488	2.150460260945552
111111111000000001111111111000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000001111111111111111110000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000011111111100000000000000000000000000000000001111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000011111111111111111100000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100111111111111111111000000000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6552011628103278
100000000111110000011111111111110000000000000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000001111111111111111100000000000000000000000000011	1.2570817983090952	1.5352110126094511	1.757860092913549
111111111000000000000000000000000000000000001111111111000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111110000000000000000000000000000000000000000111111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
111110000000000000000000000000000000111111111000000000111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
100000000000000000000011111111111111111100000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000001111111111000011111111000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000001111111111111111110000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111000000000000000000111111111111111100000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
110000000000000000000011111111111111111000000000000000000001	1.2570817983090952	1.5352110126094511	1.757860092913549
100000001111000000000000001111111111111100000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000011100000001111111111111110000000000000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000011111000000000000000000011111000000000000111111111	1.3697693284703485	1.76584107366488	2.1518563899626257
111111111110000111111110000000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000001111111111000000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000000000011111111111111111101	1.2570817983090952	1.4312607446401384	1.5395451196726189
100000000000000000000000000000001111111111111110000111000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000000001111111111111111110000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000001111111111111111110000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000011111111111111111100000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000111111111111110000000000011111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000011111111111111000000011110001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111100000000000000000000000000000000000000001111111111	1.1167220906908362	1.3162353828714297	1.5161752170230298
100000001111111111111000000000000000000000000001111100000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111110000011110000001111111000000000000000000000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
111111110000000000001111111100000111000000000000000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
100000000000000000000000000000000000001111111111111111110001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000111111111111111111000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000000001111111111111111000000111	1.2570817983090952	1.5352110126094511	1.813952243316571
111110011111000000000000000000000000000000000000001111111111	1.2570817983090952	1.5921142889080948	1.8753697791106347
111111100000010000000000000111111111110000000000000000000001	1.3697693284703485	1.7582140896854181	2.1467600030248484
100000000011000000000000000000011111111111100000000111100001	1.4636488292592815	1.917820219041696	2.370872579589067
100000000000000000111111111111000000000000000000011111100001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000001111111111111111110000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000001111111111111111110000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000010000000000000000000000000111111111111111111	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111111100000000000000000000000000000011100000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000111111111100000000000000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000011111100000000000000000001111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111110000000000000000000001111100000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000011100000000000000000000000000001111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000011111111111111111100000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000010000000000000001111111111111110000111	1.3697693284703485	1.758214089685418	2.1467600030248484
100000000000011111111111111110001100000000000000000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
100111111111111110000000000000000000000111100000000000000001	1.3697693284703485	1.7237313310647284	2.0606172069953756
100000000000000000000000000000111111111111111111000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000110000001111111111111111000000000000000000000000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
110000000000000110000000000000000000000000001111111111111111	1.2570817983090952	1.5921142889080948	1.813952243316571
111111000000000000000000000011111111111110000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000110000011110000001110000000001111111110000000000000001	1.5428607535863514	2.07099341295511	2.596452379919621
111111110000000000000001111111111100000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000100000000000000111111111111111111	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111110000000000000000000000000000000000000111111111110001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111100000000000000000000000000000001100000000011111111	1.2570817983090952	1.5921142889080948	1.903183231512717
111111110000001111111111100000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000000001111111110001111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111000000000000000000000000000000001100000111111110001	1.3697693284703485	1.7658410736648797	2.150460260945552
100000000001111111000000000000001111111111100000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111111111000000000000000000000011110000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111100000000000000000011111111111100000000000000000000001111	1.2570817983090952	1.5921142889080948	1.9201271298222538
111111111110000000000111111110000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000110000000000000000000000000000000000011111111111111111	1.2570817983090952	1.5352110126094511	1.757860092913549
111111111111000001111111000000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000010000000000000000000111111111000000111111110000000001	1.4636488292592815	1.9251238169235343	2.3827200909608264
100000000000000000000000011111111110000000000000000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000011111111000000000000000000000000001111111111001	1.3697693284703485	1.7237313310647284	2.0606172069953756
100000000000000001111100000000000000000001111111100000111111	1.3697693284703485	1.76584107366488	2.1518563899626257
101111111100000000000111111111100000000000000000000000000001	1.3697693284703485	1.705776262336533	1.9822837694720605
111111000000000000000000000000001111111111111000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111000000000000000000000000000000011110000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111100000000000000000000110000000000000001111111111000001	1.3697693284703485	1.7658410736648797	2.150460260945552
111011111111111111110000000000000000000000000000000000000001	1.2570817983090952	1.4898235216379354	1.6886265687654884
100000000000000111111111111111000000000000000000000000001111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000000000000000000000111111110000000011111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000011111111111111110000000000000000000000000111	1.2570817983090952	1.5352110126094511	1.813952243316571
111000000000011111111000000000000000000000000000000111111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
111111111111111101000000000000000000000000000000001100000001	1.3697693284703485	1.7402590209572224	1.9983159391706515
100000000000000000000000000000001111111111110000000011111101	1.3697693284703485	1.705776262336533	1.9822837694720605
100000000000011111111111111110000000000000000001100000000001	1.3697693284703485	1.7237313310647284	2.057529014828702
111000000000000000000000000110000000000000000111111111111111	1.2570817983090952	1.5921142889080948	1.903183231512717
111100000000000000000000111111111100000000000000000000111111	1.2570817983090952	1.5921142889080948	1.9201271298222538
111111111111100000000000000111111000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111111100000000000000000000000000000000000000001111	1.1167220906908362	1.3162353828714297	1.5161752170230298
110111111111100000000000000000000000000000111000000100001111	1.4636488292592815	2.0038723097397595	2.473742990046392
111000000000000000000001111000011111111111100000000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
100000000000000000000001110000000000000000001111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111100000000000000000000000000000000001111111110000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000001110000000000000000000000001111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000000001111000000000000000000000000111111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111110011000000000000000000000000000000000000001111111111	1.2570817983090952	1.5921142889080948	1.858425880801098
100000011110000000000000000000001000000000000011111111111111	1.3697693284703485	1.758214089685418	2.1467600030248484
100000000011100000000000000000000001111111111111110000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
100000000000000000000000011111111111110000000111110000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
101111000000000000000000000000000000000000000111111111111111	1.2570817983090952	1.4898235216379354	1.6886265687654884
100000000000000111111111100000000000000000000000000111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
100010000000000000000000000000000000000000111111111111111111	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111000000011111110000000000000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000001111111111000000000000000000000000001111111100000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111111111111100000000111110000000000000010000000000000000001	1.3697693284703485	1.7582140896854181	2.1467600030248484
100001111111110000000000000000000000000000000000001111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111111111110000000000000000011111000000000000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
110000000000000000000000000000111111111111111110000000000001	1.2570817983090952	1.5352110126094511	1.757860092913549
100000000000111111000000000000000000000000000001111111111111	1.2570817983090952	1.5352110126094511	1.813952243316571
111111000000000001110000000000000001111111111000000000000001	1.3697693284703485	1.7658410736648797	2.1518563899626253
100000000000000011110000000011001111111111110000000000000001	1.4636488292592815	1.917820219041696	2.3746394910730384
100000000001100000000000000000000000000000011111111111111111	1.2570817983090952	1.5352110126094511	1.757860092913549
110000000000001111111100000000000000000000000000111111111001	1.3697693284703485	1.7658410736648797	2.0994051842143255
100000000000000000111111111111111111000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111000000111111111100000000000011111010000000000000000000001	1.4636488292592815	1.9657530907487226	2.394281147713395
100000000000000000000000000001111111111111111110000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000011111111111111111100000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000001111111000000000000000111111111110000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111110001111111111100000000000000000000000000000000000001111	1.2570817983090952	1.5921142889080948	1.9201271298222538
111111110000000000000000000000000000000000111111100000011111	1.2570817983090952	1.5921142889080948	1.9201271298222538
111100000000000000000000001000000000000011111111111111000001	1.3697693284703485	1.7582140896854181	2.1467600030248484
111111000000000000000011111111111000000011000000000000000001	1.3697693284703485	1.7658410736648797	2.150460260945552
111111111000011000001100000000000000011111100000000000000001	1.4636488292592815	1.9474872829349215	2.3962207100812822
111111111111111111000000000000000100000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
111111111111111110000000000000000000000000000000000110000001	1.2570817983090952	1.5352110126094511	1.757860092913549
100000001111100000011111111111110000000000000000000000000001	1.3697693284703485	1.7237313310647284	2.076584564428357
111100000000000000000000000001111111111111110000000000000001	1.2570817983090952	1.5352110126094511	1.813952243316571
100000000000011111111111111111100000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100011111111111111111100000000000000000000000000000000000001	1.2570817983090952	1.4766482356116541	1.6999585135219468
100000000000000000000000000000000000000111110011111111111111	1.2570817983090952	1.5352110126094511	1.7691948926049519
