seeds	e_coli.fa.gz, e_coli_BW25113.fa	e_coli.fa.gz, Pichia_sorbitophila.fa	e_coli_BW25113.fa, Pichia_sorbitophila.fa	entropies
101000000100010010101010101001001110010001000000010101010000	4561228	11	11	2.52756088544
010100100010001000001000010010001001010010100010101001000111	4561785	8	8	2.40358634441
100000110100100010000101011000001001010000001100110101001000	4561170	6	6	2.67496206961
110000000100001000110001100010001010000110010110110000000011	4561436	17	17	2.59843814519
000000000011111110000000111000000011000010000000001111100101	4560328	15	15	2.3746930115
100001110001100000000001100000000000111001100111000001111000	4561119	13	13	2.33033972177
000000000110010011111111000000000000010000011111110000000001	4559615	14	14	2.21506933813
000000000100111010000011000011000000100101011100100101001100	4560329	10	10	2.78422356453
110000001001000011000000110000011000001100001001110000001111	4561800	7	7	2.48392115635
000101001001010010100100101010000100010010010010001010010100	4561196	18	18	2.16985824516
000101001001010010100100101010000100010010010010001010010100	4561196	18	18	2.16985824516
010010000100001010011110100001000100010100001010101010000100	4561251	13	13	2.57488374642
001101000101010010010100100010001001000100010010010010101000	4561398	10	10	2.37022870709
010010001010100100101010001001001010000010001000010101001001	4561510	17	17	2.23037397397
000101010001000001010001001000101100001010010100101001000101	4561239	8	8	2.44454689161
010010000011001001001101111000010001101000000010100000010001	4561016	16	16	2.72482971215
001110000101011100010101000000000000100100000001001010100111	4561632	12	12	2.68930112799
110010001000100011001010110110001010000100001000000010100001	4561592	9	9	2.62590863972
101101000001000010100001010010100010101000010101010000101000	4561595	14	14	2.42181173829
010010011111000000000100001000010100000000100000101111101001	4561364	11	11	2.62983359138
110001000001001000110000100010011001000100100111000000110010	4561671	11	11	2.53977212453
000001010010001000100100101010010100101010010000100101010010	4561028	11	11	2.21723368192
101000101000101010101001000101000100100010010000010000001101	4561697	12	12	2.45353078984
000001010001001001010101001010010100010001000100101100010010	4560911	9	9	2.41343905902
001010101010101010000010100100001000000000010010101010101001	4561554	16	16	2.20137211779
010010100011100101100100010001001000010111001000000100001000	4561017	9	9	2.69630754103
001010010001001010101000010000101001010010010010010010010100	4560921	14	14	2.16985824516
100000010010000000101000000011111100000000011100011100011001	4561221	15	15	2.555365478
100000001100000000000011100111000111000001110101000000010011	4561175	6	6	2.56114699673
101010000101010101000001010100000010010010100000010101010001	4561818	10	10	2.22549585974
010010010100100010010100001010010101001000010010010010001001	4561303	11	11	2.16080899423
010010010100100010010100001010010101001000010010010010001001	4561303	11	11	2.16080899423
010010010100100010010100001010010101001000010010010010001001	4561303	11	11	2.16080899423
001001000001001001001010101001010000001010010010101010101000	4560642	11	11	2.23562918919
000001100010000011011100110000000001110000011110111000000000	4559813	15	15	2.51364893635
000100001010100010011001000111010010011100000100010000110000	4560604	15	15	2.75130202277
010010001001010100010010010001000101000111001000001000100101	4561601	7	7	2.46589896608
100001101100111000000000000000010111000100000110001000111001	4561462	15	15	2.60562201887
001010001010000000101011001001010000001011010000010111000001	4560645	6	6	2.68244979741
100000010101000011001001001010010010001000101010010100100100	4561329	12	12	2.40760324254
010001010001010010010010100000010010101001000001010101010100	4561306	8	8	2.23839868786
111000000000100101110000001110010001000110000001111100000000	4560733	11	11	2.56810470336
000100110010100101001010010010000100010010000010010011001001	4561224	18	18	2.42839377558
111000000100000000001110000111111100010011100001100000000000	4559951	17	17	2.35828560539
101000010101001010001000100100010010100010100000101001010100	4561717	7	7	2.25380338245
101010100000010001010100000010100000101100001010010110100010	4561614	9	9	2.51782637916
000001010001001101010000010110010010100110001100000100010010	4560747	17	17	2.66967462882
000001001010000101010100101010010000010100101010101000001010	4561076	12	12	2.21723368192
110000000000111000011100011110000001110000000000011000011001	4561380	9	9	2.26685510696
000110001100110111000010100010010000000000110100010000101001	4561166	12	12	2.73784501391
001001010100001010100100100000101010100010001010001010100001	4561529	13	13	2.25629495004
100000010100100010001001001011001001011000101000000001100101	4561260	13	13	2.61052966007
010000010000101010101010110001110000110100000100001010000001	4561067	3	3	2.66282302576
000101010101000100100010001010101010010001001101000001000100	4561022	12	12	2.43460406496
110000100000000001100011100001110100100001000110000001101100	4561222	11	11	2.64885778186
010100101100000000010010101000010010100001101010000100101001	4561714	16	16	2.55164090382
000100010010001011001000100000010100100100000010010111000111	4561337	8	8	2.65611307853
100001100111111000000001100000001100110000010000000000001111	4561434	15	15	2.33826389058
010010000100010100010001010101010100001000010010100001010110	4561367	8	8	2.43211249737
110000000000001111110000000011000000001000110000000001111111	4561427	18	18	2.15185472219
110000000000001111110000000011000000001000110000000001111111	4561427	18	18	2.15185472219
110000000000001111110000000011000000001000110000000001111111	4561427	18	18	2.15185472219
110000000000001111110000000011000000001000110000000001111111	4561427	18	18	2.15185472219
110000000000001111110000000011000000001000110000000001111111	4561427	18	18	2.15185472219
000000011100000000000010001110000000000111000001111001111110	4560508	9	9	2.28470540894
001001010000001001100010000101010101001000000100001010011011	4561355	10	10	2.58964197507
100100010000100100010010001001010100010101001010001010010100	4561532	10	10	2.21765585705
010000100010010010100000010100100100100010010101000101010101	4561262	15	15	2.24854231619
000010100100101000001010100010001010101010101010100001010000	4560848	9	9	2.204515565
000001111111111000000000011100000110000000000110001110000000	4559939	18	18	2.16377788023
100000011011110000000110000000000001100000000011110011110001	4561275	18	18	2.30744931271
010100000000101001000001000100010100101010101100010001010101	4561630	8	8	2.43019020916
000001010100001010011010010100001010000001010101001000101001	4561113	11	11	2.43979092148
110010011111111101000000111000000000000000001000000000101100	4560790	9	9	2.47719244939
000010100000100010000010100010100101010101000101010010100101	4561105	12	12	2.24854231619
101110001001111011000000001100000000000111000000000110110000	4561132	12	12	2.49119346695
111110001000010111011100000000000111110000000000100000000001	4560803	17	17	2.38668799908
100010010100110001001001000001000101001100101100100010100000	4560921	13	13	2.58280791524
000100010001010100001000000001010110000101000101010110101010	4561220	6	6	2.50422278526
101000010010001010010010101000100001001001000100100101010010	4561700	9	9	2.20137211779
100100101000100100001000100100100010010101001001010001010100	4561395	9	9	2.18317309843
000000001000100011001111100001001110000000101101100000000011	4560099	10	10	2.63593969266
110000000100000000000111101001110011111000011100000000000001	4560453	11	11	2.39828034865
001100010101010011000001010010000100010100010010100101001000	4561245	8	8	2.54266539034
011000001000001100001100111100001110110000000100011000010000	4560735	17	17	2.62038391196
010000100010100100000001001010101000010010101101000100010110	4561408	5	5	2.54628789108
100010010101010010010011001001000010010000010001010010010010	4560631	16	16	2.34514839904
010001000010100100101010000101010100101010100000000010101010	4561432	8	8	2.20659080851
100100001011010010000001010000000110001101101101000000000011	4561434	12	12	2.61621882713
010100101001010001001001010101010001010100000000001010010100	4561324	14	14	2.2331376216
110001001011010000000000100101010101001000010100001010010001	4561631	13	13	2.49651585946
100011001000110001110000100010000000100010000101111011000000	4561011	9	9	2.71502928059
101010101001001001000000100010100010110001000100101010100000	4561324	9	9	2.44731639028
100101010000001010101001001010000010010010100100100101000100	4561424	9	9	2.24101684738
001111000100010111011100000000011111000000010000000000000110	4560798	11	11	2.53312801015
110000010101000000101010000010100100101001001010010001001010	4561733	11	11	2.34848168946
110000000011000000000000000011001101111110000000000001111110	4560981	8	8	2.16270283397
110000000011000000000000000011001101111110000000000001111110	4560981	8	8	2.16270283397
111001000001000011100010100010001100100111110000001000000000	4560347	14	14	2.6428906305
011111100000000000101000000100110011000010010100000010110001	4561496	9	9	2.70548213557
